SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.164444,0.472064,0.164444,0.472064,0.318254,0.25673,0.379778
2,0.157143,0.924815,0.157143,0.924815,0.540979,0.387444,0.694513
3,0.186834,0.710417,0.186834,0.710417,0.448625,0.343909,0.553342
4,0.298611,0.837809,0.298611,0.837809,0.56821,0.46037,0.676049
5,0.24188,0.553831,0.24188,0.553831,0.397855,0.335465,0.460245
6,0.184398,0.577396,0.184398,0.577396,0.380897,0.302297,0.459497
7,0.319409,0.555372,0.319409,0.555372,0.437391,0.390198,0.484583
8,0.3,0.923457,0.3,0.923457,0.611728,0.487037,0.73642
9,0.409995,0.977106,0.409995,0.977106,0.693551,0.580128,0.806973
10,0.432349,0.746987,0.432349,0.746987,0.589668,0.52674,0.652596
11,0.229167,0.642009,0.229167,0.642009,0.435588,0.353019,0.518156
12,0.392795,0.638718,0.392795,0.638718,0.515756,0.466572,0.564941
13,0.441512,0.599742,0.441512,0.599742,0.520627,0.488981,0.552273
14,0.411534,0.767279,0.411534,0.767279,0.589407,0.518258,0.660556
15,0.422032,0.655857,0.422032,0.655857,0.538945,0.49218,0.585709
16,0.379975,0.574304,0.379975,0.574304,0.477139,0.438274,0.516005
17,0.395909,0.860053,0.395909,0.860053,0.627981,0.535152,0.72081
18,0.353284,0.851515,0.353284,0.851515,0.6024,0.502754,0.702046
19,0.385634,0.530239,0.385634,0.530239,0.457937,0.429016,0.486858
20,0.345741,0.954636,0.345741,0.954636,0.650189,0.52841,0.771968
21,0.388528,0.619145,0.388528,0.619145,0.503836,0.457713,0.54996
22,0.395813,0.727857,0.395813,0.727857,0.561835,0.495426,0.628244
23,0.395032,0.74441,0.395032,0.74441,0.569721,0.499845,0.639596
24,0.464366,0.724851,0.464366,0.724851,0.594608,0.542511,0.646706
25,0.412267,0.333574,0.412267,0.333574,0.372921,0.388659,0.357182
26,0.438657,0.741166,0.438657,0.741166,0.589912,0.52941,0.650414
27,0.382113,0.756581,0.382113,0.756581,0.569347,0.494454,0.644241
28,0.433957,0.537206,0.433957,0.537206,0.485581,0.464932,0.506231
29,0.41799,0.497809,0.41799,0.497809,0.4579,0.441936,0.473864
30,0.376054,0.916595,0.376054,0.916595,0.646325,0.538217,0.754433
31,0.356325,0.911667,0.356325,0.911667,0.633996,0.522928,0.745064
32,0.329728,0.949531,0.329728,0.949531,0.639629,0.515669,0.76359
33,0.430633,0.464855,0.430633,0.464855,0.447744,0.4409,0.454589
34,0.438195,0.67269,0.438195,0.67269,0.555442,0.508544,0.602341
35,0.399348,0.526536,0.399348,0.526536,0.462942,0.437505,0.48838
36,0.391292,0.793771,0.391292,0.793771,0.592532,0.512036,0.673027
37,0.408878,0.50156,0.408878,0.50156,0.455219,0.436683,0.473756
38,0.42732,0.652372,0.42732,0.652372,0.539846,0.494836,0.584856
39,0.356371,0.828042,0.356371,0.828042,0.592207,0.497872,0.686541
40,0.368797,0.559487,0.368797,0.559487,0.464142,0.426004,0.50228
41,0.339348,0.969944,0.339348,0.969944,0.654646,0.528527,0.780765
42,0.413554,0.727663,0.413554,0.727663,0.570609,0.507787,0.63343
43,0.376665,0.411416,0.376665,0.411416,0.394041,0.387091,0.400991
44,0.40588,0.762083,0.40588,0.762083,0.583982,0.512741,0.655222
45,0.444528,0.877372,0.444528,0.877372,0.66095,0.574381,0.747519
46,0.458868,0.939048,0.458868,0.939048,0.698958,0.602922,0.794994
47,0.411208,0.556234,0.411208,0.556234,0.483721,0.454716,0.512726
48,0.371061,0.792666,0.371061,0.792666,0.581864,0.497543,0.666185
49,0.437989,0.761794,0.437989,0.761794,0.599891,0.535131,0.664652
50,0.400966,0.790408,0.400966,0.790408,0.595687,0.517798,0.673575
51,0.376304,0.857702,0.376304,0.857702,0.617003,0.520724,0.713283
52,0.454315,0.721354,0.454315,0.721354,0.587834,0.534427,0.641242
53,0.418613,0.408447,0.418613,0.408447,0.41353,0.415563,0.411497
54,0.546316,0.747222,0.546316,0.747222,0.646769,0.606588,0.68695
55,0.426066,0.863488,0.426066,0.863488,0.644777,0.557293,0.732261
56,0.405066,0.977146,0.405066,0.977146,0.691106,0.57669,0.805522
57,0.436735,0.704533,0.436735,0.704533,0.570634,0.517074,0.624194
58,0.422415,0.486904,0.422415,0.486904,0.45466,0.441762,0.467557
59,0.386214,0.604636,0.386214,0.604636,0.495425,0.451741,0.53911
60,0.388088,0.977997,0.388088,0.977997,0.683042,0.565061,0.801024
61,0.36558,0.898413,0.36558,0.898413,0.631996,0.52543,0.738563
62,0.375304,0.45621,0.375304,0.45621,0.415757,0.399576,0.431938
63,0.389658,0.77878,0.389658,0.77878,0.584219,0.506395,0.662044
64,0.436015,0.84653,0.436015,0.84653,0.641272,0.559169,0.723375
65,0.444846,0.465,0.444846,0.465,0.454923,0.450892,0.458954
66,0.41466,0.791567,0.41466,0.791567,0.603114,0.527733,0.678495
67,0.460231,0.641828,0.460231,0.641828,0.55103,0.51471,0.587349
68,0.45431,0.38896,0.45431,0.38896,0.421635,0.434705,0.408565
69,0.424599,0.32963,0.424599,0.32963,0.377114,0.396108,0.35812
70,0.336474,0.146496,0.336474,0.146496,0.241485,0.279481,0.203489
71,0.317752,0.961909,0.317752,0.961909,0.639831,0.511,0.768662
72,0.274,0.408483,0.274,0.408483,0.341241,0.314345,0.368138
73,0.443093,0.469449,0.443093,0.469449,0.456271,0.451,0.461542
74,0.389183,0.500747,0.389183,0.500747,0.444965,0.422652,0.467278
75,0.423193,0.888794,0.423193,0.888794,0.655994,0.562873,0.749114
76,0.403845,0.847619,0.403845,0.847619,0.625732,0.536977,0.714487
77,0.342471,0.530293,0.342471,0.530293,0.436382,0.398817,0.473946
78,0.477717,0.933484,0.477717,0.933484,0.7056,0.614447,0.796754
79,0.357247,0.689334,0.357247,0.689334,0.523291,0.456873,0.589708
80,0.421319,0.967708,0.421319,0.967708,0.694514,0.585236,0.803792
81,0.308565,0.870767,0.308565,0.870767,0.589666,0.477226,0.702106
82,0.405159,0.44583,0.405159,0.44583,0.425494,0.41736,0.433628
83,0.371923,0.799953,0.371923,0.799953,0.585938,0.500332,0.671544
84,0.447331,0.955026,0.447331,0.955026,0.701179,0.59964,0.802718
85,0.381872,0.835447,0.381872,0.835447,0.60866,0.517945,0.699375
86,0.389899,0.41643,0.389899,0.41643,0.403165,0.397858,0.408471
87,0.420489,0.708431,0.420489,0.708431,0.56446,0.506871,0.622049
88,0.356584,0.563016,0.356584,0.563016,0.4598,0.418513,0.501086
89,0.309761,0.710621,0.309761,0.710621,0.510191,0.430019,0.590363
90,0.382648,0.5868,0.382648,0.5868,0.484724,0.443893,0.525554
91,0.467114,0.847619,0.467114,0.847619,0.657366,0.581265,0.733468
92,0.424058,0.860606,0.424058,0.860606,0.642332,0.555022,0.729642
93,0.30989,0.82453,0.30989,0.82453,0.56721,0.464282,0.670138
94,0.469769,0.624784,0.469769,0.624784,0.547276,0.516273,0.578279
95,0.367142,0.724333,0.367142,0.724333,0.545738,0.4743,0.617176
96,0.399102,0.537753,0.399102,0.537753,0.468427,0.440697,0.496157
97,0.453973,0.482401,0.453973,0.482401,0.468187,0.462501,0.473872
98,0.428217,0.949905,0.428217,0.949905,0.689061,0.584723,0.793399
99,0.487125,0.767856,0.487125,0.767856,0.627491,0.571345,0.683637
100,0.41937,0.539658,0.41937,0.539658,0.479514,0.455456,0.503572
101,0.39029,0.942864,0.39029,0.942864,0.666577,0.556062,0.777092
102,0.396403,0.65131,0.396403,0.65131,0.523857,0.472875,0.574838
103,0.402681,0.519624,0.402681,0.519624,0.461152,0.437764,0.484541
104,0.417887,0.872766,0.417887,0.872766,0.645327,0.554351,0.736303
105,0.375378,0.758172,0.375378,0.758172,0.566775,0.490216,0.643334
106,0.479487,0.577953,0.479487,0.577953,0.52872,0.509026,0.548413
107,0.326007,0.888552,0.326007,0.888552,0.60728,0.49477,0.719789
108,0.380939,0.597992,0.380939,0.597992,0.489466,0.446055,0.532876
109,0.391209,0.824374,0.391209,0.824374,0.607792,0.521158,0.694425
110,0.347873,0.579751,0.347873,0.579751,0.463812,0.417437,0.510188
111,0.454263,0.587753,0.454263,0.587753,0.521008,0.49431,0.547706
112,0.463031,0.609743,0.463031,0.609743,0.536387,0.507044,0.565729
113,0.342539,0.705484,0.342539,0.705484,0.524012,0.451423,0.596601
114,0.423341,0.405784,0.423341,0.405784,0.414562,0.418074,0.411051
115,0.314891,0.490118,0.314891,0.490118,0.402504,0.367459,0.437549
116,0.357096,0.571776,0.357096,0.571776,0.464436,0.4215,0.507372
117,0.466667,0.507313,0.466667,0.507313,0.48699,0.47886,0.495119
118,0.478081,0.784303,0.478081,0.784303,0.631192,0.569947,0.692437
119,0.490707,0.315935,0.490707,0.315935,0.403321,0.438276,0.368367
120,0.469105,0.210033,0.469105,0.210033,0.339569,0.391384,0.287755
121,0.404168,0.656667,0.404168,0.656667,0.530417,0.479918,0.580917
122,0.382217,0.439571,0.382217,0.439571,0.410894,0.399423,0.422365
123,0.380319,0.647048,0.380319,0.647048,0.513684,0.460338,0.56703
124,0.373841,0.596689,0.373841,0.596689,0.485265,0.440696,0.529835
