Alfredo Zitarrosa	associated with musician	Ciro Pérez
School of Business and Social Sciences at Aarhus University	affiliated with	European University Association
AFC Blackpool	located in	Blackpool
Austrian German	is language in	Austria
Austria	leader is	Doris Bures
Aaron Turner	was born in	Massachusetts
Campeonato Brasileiro Série C league	in	Brazil
AMC Matador	features body style	wagon
Bhangra music	is part of	fusion genre
Houston	is largest city in	Texas
Al Kharaitiyat SC	managed by	Amar Osim
Tarrant County	county seat is	Fort Worth, Texas
Anwar Zaheer Jamali	leads	Pakistan
David Scott	was commander of	Apollo 12
Aaron Turner	is a	Sludge metal musician
Anders Osborne	musical career began in	1989
Adam Holloway	began career on	5th May 2005
Al Anderson	plays in band	NRBQ
Aaron Turner	plays	electric guitar
Andalusia	leader is	Susana Diaz
Albany	is part of	Georgia
Alan Shepard	passed away in	California
Albert B White	died in	Parkersburg, West Virginia
Native Americans	are one of national ethnic groups of	U.S.
Alan Shepard	selected by	NASA
Ireland	ethnic group	white people
Dougherty County	in	Georgia
Aaron Bertram	plays for	Suburban Legends
Akita, Akita	is part of	Japan
Black metal	has musical fusion called	Death metal
Accademia di Architettura di Mendrisio	had	600 students
Allama Iqbal International airport	is located in	Punjab Pakistan
Buenos Aires	leader is	Gabriela Michetti
Agra Airport	ICAO location identifier	VIAG
Julia Morgan	known for	The Riverside Art Museum
Aleksandr Prudnikov	played for	FC Spartak Moscow's youth team
Asser Levy Public Baths	is located on	23rd Street, Manhattan
Appleton, Wisconsin	is served by	Appleton International Airport
United States Air Force	was involved in	Invasion of Panama
Texas	is in	United States
(66391) 1999 KW4	has density	2 gms per cu cm
Ahmet Ertegun	background is	non performing
Abilene, Texas	water area	14.2 sq km
Albany	is city in	Dougherty County, Georgia
Andrew Rayel	is associated with	Lira Yin
Adisham Hall	is located at	St Benedict's Monastery, Adisham, Haputhale, Sri Lanka
Alberto Teisaire	nationality	Argentinian
Cornell University	affiliated with	Association of American Universities
Akeem Dent	made debut with	Atlanta Falcons
Mestizo ethnic group	is one of ethnic groups in	Paraguay
African Americans	are an ethnic group in	US
Adolfo Suárez Madrid–Barajas Airport	runway length	3,500
Andrews County Airport	runway name	11/29
ALV X-1	originated in	United States
Ferencvarosi TC	ground is	Palo Seco
asam pedas	of	Malay Peninsula region
Apollo 8	operated by	NASA
Adisham Hall	is located in	Haputale, Sri Lanka
Buenos Aires	governing body is	Buenos Aires City Legislature
Akeem Dent	used to play for	Houston Texans
250 Delaware Avenue	floor area	30843.8 square metres
Sri Lanka	leader is	Ranil Wickremesinghe
Spanish	is spoken in	Texas
U.S.	national anthem is known as	The Star Spangled Banner
Trane	is a maker of	building management systems
USAF	participated in	Invasion of Grenada
Walter Baade	alma mater was	University of Gottingen
Alhambra	has engine	Humphrys, Tennant and Dykes
United States Whig Party	led by	Daniel Webster
Albany	led by	Mayor
Andra	was born in	1986
Buenos Aires	leader is	Horacio Rodríguez Larreta
Ayam Penyet	can also be found in	Indonesia
3Arena	is located in	Dublin, Republic of Ireland
Julia Morgan	born in	California
Alberto Teisaire	was a	Rear Admiral
BBC	began airing	Bananaman
Aaron Deer	is artist for	Wee Giant band
Lee County	county seat is	Opelika
Andra	was born in	1986
Albuquerque	total area	490.9 square kilometres
Alan Shepard	served as	test pilot
Julia Morgan	was an	architect
Mondelez International	was founded in	Chicago
Above the Veil	is sequel to	Aenir
Julia Morgan	was architect behind	grounds of Asilomar Conference
Houston	is largest city in	Texas
Manchester	leader is	The Labour Party (UK)
Switzerland	leader is	Johann Schneider-Ammann
United States	leader is	Barack Obama
GMA New Media	is in	mass media industry
Austin	is capital of	Texas
Spain	leader is	Felipe VI of Spain
Cornell University	publisher of	Administrative Science Quarterly
ALCO RS-3	produced from	May 1950 to August 1956
Ram Naik	is leader of	Uttar Pradesh
Abilene	total area	286.5 sq km
AC Milan	are in	Serie A league
Atlantic City International Airport	elevation	23 metres
Ayam penyet	can be found in	Indonesia
Acharya Institute of Technology	affiliated with	Visvesvaraya Technological University
A Severed Wasp	is from	United States
AMC Matador	features engine	AMC V8
NWC	year	1957
Bananaman	starred	Tim Brooke-Taylor
ALCO RS-3	produced by	American Locomotive Company
A Severed Wasp	is written in	English
Aston Martin DBS	related to	Aston Martin Virage
Allama Iqbal International Airport	is operated by	Pakistan Civil Aviation Authority
Netherlands	Socialist Party led by	Emile Roemer
Aston Martin Virage	related type of transportation	Aston Martin DBS
Above the Veil	is sequel to	Aenir
Addis Ababa City Hall	located in	Addis Ababa, Ethiopia
Luanda Province	is in	Angola
United States	ethnic group	African Americans
people of Texas	are known as	Texans
United States Air Force	now operates	Al Asad airbase
Ashgabat International Airport	is located in	Ashgabat
FC Terek Grozny club	based in	Grozny
Andrews County Airport	is located in	Texas
Ireland	located in	Europe
Albuquerque, N.M.	total area	490.9 square kilometers
Akeem Adams	former clubs include	Ferencvarosi TC
Ace Wilder	occupation is	solo singer
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C.
Angola International Airport	is located at	Ícolo e Bengo
Ajoblanco	is a dish found in	Andalusian region of Spain
Accademia di Architettura di Mendrisio	has	600 students
Adolfo Suárez Madrid–Barajas Airport	is found in	Madrid, Spain
Aaron Turner	began performing in	1995
Bananaman	programme broadcast by	BBC
Estádio Municipal Coaracy da Mata Fonseca	is ground of	Agremiação Sportiva Arapiraquense
United States	one ethnic group are	White Americans
A-Rosa Luna	built by	Neptun Werft
Anderson, Indiana	population density	523.9 inhabitants per square kilometre
ALCO RS-3	length is	17068.8 millimetres
Alan Shepard	born on	Nov 18, 1923
United States	is location of	Angola
USAF	aircraft include	General Dynamics F-16 Fighting Falcon fighter plane
Alan Bean	served as	test pilot
