SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.53288,0.745423,0.53288,0.745423,0.639151,0.596643,0.68166
2,0.447633,0.519716,0.447633,0.519716,0.483675,0.469258,0.498091
3,0.375866,0.589881,0.375866,0.589881,0.482873,0.440071,0.525676
4,0.419973,0.165435,0.419973,0.165435,0.292704,0.343611,0.241796
5,0.353632,0.554719,0.353632,0.554719,0.454176,0.413958,0.494393
6,0.334844,0.447996,0.334844,0.447996,0.39142,0.36879,0.41405
7,0.30882,0.519701,0.30882,0.519701,0.414261,0.372084,0.456437
8,0.459589,0.436134,0.459589,0.436134,0.447861,0.452552,0.44317
9,0.484163,0.787037,0.484163,0.787037,0.6356,0.575025,0.696175
10,0.443641,0.907247,0.443641,0.907247,0.675444,0.582723,0.768165
11,0.42941,0.564685,0.42941,0.564685,0.497047,0.469993,0.524102
12,0.271843,0.485001,0.271843,0.485001,0.378422,0.335791,0.421054
13,0.391558,0.763057,0.391558,0.763057,0.577307,0.503008,0.651607
14,0.331518,0.510134,0.331518,0.510134,0.420826,0.385103,0.456549
15,0.438599,0.40672,0.438599,0.40672,0.422659,0.429035,0.416284
16,0.311628,0.557211,0.311628,0.557211,0.43442,0.385303,0.483536
17,0.264786,0.771264,0.264786,0.771264,0.518025,0.416729,0.619321
18,0.174228,0.419014,0.174228,0.419014,0.296621,0.247664,0.345578
19,0.332557,0.408926,0.332557,0.408926,0.370742,0.355468,0.386015
20,0.262149,0.372644,0.262149,0.372644,0.317397,0.295298,0.339496
21,0.328066,0.46429,0.328066,0.46429,0.396178,0.368933,0.423423
22,0.256472,0.479823,0.256472,0.479823,0.368148,0.323477,0.412818
23,0.420397,0.485812,0.420397,0.485812,0.453105,0.440022,0.466187
24,0.370926,0.087273,0.370926,0.087273,0.229099,0.28583,0.172369
25,0.395526,0.223635,0.395526,0.223635,0.309581,0.343959,0.275203
26,0.41538,0.187323,0.41538,0.187323,0.301352,0.346963,0.25574
27,0.266667,0.163631,0.266667,0.163631,0.215149,0.235756,0.194542
28,0.386699,0.144475,0.386699,0.144475,0.265587,0.314032,0.217142
29,0.386432,0.210159,0.386432,0.210159,0.298295,0.33355,0.263041
30,0.419932,0.320874,0.419932,0.320874,0.370403,0.390215,0.350592
31,0.4014,0.170753,0.4014,0.170753,0.286077,0.332206,0.239947
32,0.480519,0.674254,0.480519,0.674254,0.577387,0.53864,0.616134
33,0.463668,0.758972,0.463668,0.758972,0.61132,0.552259,0.670381
34,0.428704,0.547502,0.428704,0.547502,0.488103,0.464343,0.511863
35,0.300783,0.760868,0.300783,0.760868,0.530825,0.438808,0.622842
36,0.359566,0.61164,0.359566,0.61164,0.485603,0.435188,0.536017
37,0.343283,0.661064,0.343283,0.661064,0.502173,0.438617,0.565729
38,0.294481,0.139708,0.294481,0.139708,0.217095,0.248049,0.18614
39,0.354201,0.155057,0.354201,0.155057,0.254629,0.294458,0.2148
40,0.291818,0.448519,0.291818,0.448519,0.370168,0.338828,0.401508
41,0.257564,0.286608,0.257564,0.286608,0.272086,0.266277,0.277895
42,0.408899,0.479829,0.408899,0.479829,0.444364,0.430178,0.45855
43,0.410109,0.681535,0.410109,0.681535,0.545822,0.491537,0.600107
44,0.398605,0.751152,0.398605,0.751152,0.574879,0.504369,0.645388
45,0.411882,0.600746,0.411882,0.600746,0.506314,0.468541,0.544087
46,0.342972,0.401338,0.342972,0.401338,0.372155,0.360482,0.383828
47,0.377964,0.479714,0.377964,0.479714,0.428839,0.408489,0.449189
48,0.384298,0.55147,0.384298,0.55147,0.467884,0.434449,0.501319
49,0.344444,0.700568,0.344444,0.700568,0.522506,0.451281,0.593731
50,0.397624,0.490529,0.397624,0.490529,0.444076,0.425495,0.462657
51,0.340551,0.410353,0.340551,0.410353,0.375452,0.361492,0.389412
52,0.43869,0.605556,0.43869,0.605556,0.522123,0.48875,0.555496
53,0.423085,0.048077,0.423085,0.048077,0.235581,0.310582,0.160579
54,0.410578,0.761165,0.410578,0.761165,0.585871,0.515754,0.655989
55,0.407547,0.785412,0.407547,0.785412,0.596479,0.520906,0.672052
56,0.385674,0.761683,0.385674,0.761683,0.573679,0.498477,0.648881
57,0.439812,0.677659,0.439812,0.677659,0.558736,0.511166,0.606305
58,0.437759,0.66358,0.437759,0.66358,0.55067,0.505506,0.595834
59,0.480175,0.541261,0.480175,0.541261,0.510718,0.4985,0.522935
60,0.496323,0.44832,0.496323,0.44832,0.472322,0.481923,0.462721
61,0.363961,0.526801,0.363961,0.526801,0.445381,0.412813,0.477949
62,0.303199,0.412377,0.303199,0.412377,0.357788,0.335952,0.379623
63,0.424169,0.641612,0.424169,0.641612,0.532891,0.489402,0.576379
64,0.354447,0.729683,0.354447,0.729683,0.542065,0.467018,0.617112
65,0.42392,0.641595,0.42392,0.641595,0.532758,0.489222,0.576293
66,0.375,0.678049,0.375,0.678049,0.526525,0.465915,0.587135
67,0.416116,0.476125,0.416116,0.476125,0.446121,0.434119,0.458122
68,0.442364,0.658414,0.442364,0.658414,0.550389,0.507179,0.593599
69,0.429384,0.899024,0.429384,0.899024,0.664204,0.570276,0.758132
70,0.389777,0.911574,0.389777,0.911574,0.650675,0.546316,0.755035
71,0.370349,0.204357,0.370349,0.204357,0.287353,0.320551,0.254155
72,0.355319,0.442157,0.355319,0.442157,0.398738,0.38137,0.416105
73,0.425319,0.277457,0.425319,0.277457,0.351388,0.380961,0.321816
74,0.372167,0.290777,0.372167,0.290777,0.331472,0.34775,0.315194
75,0.422163,0.43025,0.422163,0.43025,0.426207,0.424589,0.427824
76,0.358479,0.607273,0.358479,0.607273,0.482876,0.433117,0.532635
77,0.288623,0.439258,0.288623,0.439258,0.363941,0.333814,0.394067
78,0.176815,0.140086,0.176815,0.140086,0.158451,0.165797,0.151105
79,0.221266,0.621388,0.221266,0.621388,0.421327,0.341302,0.501352
80,0.319584,0.465917,0.319584,0.465917,0.39275,0.363484,0.422017
81,0.326308,0.139646,0.326308,0.139646,0.232977,0.27031,0.195645
82,0.396026,0.236508,0.396026,0.236508,0.316267,0.348171,0.284363
83,0.465741,0.323349,0.465741,0.323349,0.394545,0.423023,0.366067
84,0.401852,0.720256,0.401852,0.720256,0.561054,0.497373,0.624735
85,0.366539,0.179804,0.366539,0.179804,0.273172,0.310519,0.235825
86,0.475682,0.060426,0.475682,0.060426,0.268054,0.351105,0.185003
87,0.476389,0.071894,0.476389,0.071894,0.274141,0.35504,0.193242
88,0.390823,0.076135,0.390823,0.076135,0.233479,0.296417,0.170541
89,0.393013,0.157212,0.393013,0.157212,0.275113,0.322273,0.227953
90,0.41977,0.567424,0.41977,0.567424,0.493597,0.464066,0.523128
91,0.49314,0.597832,0.49314,0.597832,0.545486,0.524548,0.566424
92,0.434184,0.394261,0.434184,0.394261,0.414223,0.422207,0.406238
93,0.403332,0.52605,0.403332,0.52605,0.464691,0.440148,0.489234
94,0.430571,0.111515,0.430571,0.111515,0.271043,0.334854,0.207232
95,0.372436,0.389307,0.372436,0.389307,0.380871,0.377497,0.384245
96,0.37738,0.48167,0.37738,0.48167,0.429525,0.408667,0.450383
97,0.415359,0.642399,0.415359,0.642399,0.528879,0.483471,0.574287
98,0.322438,0.408118,0.322438,0.408118,0.365278,0.348142,0.382414
99,0.454197,0.172549,0.454197,0.172549,0.313373,0.369702,0.257043
100,0.324024,0.211111,0.324024,0.211111,0.267568,0.29015,0.244985
101,0.318427,0.255844,0.318427,0.255844,0.287135,0.299652,0.274619
102,0.402697,0.457143,0.402697,0.457143,0.42992,0.41903,0.440809
103,0.417871,0.189177,0.417871,0.189177,0.303524,0.349263,0.257785
104,0.425931,0.099048,0.425931,0.099048,0.262489,0.327866,0.197113
105,0.380661,0.094192,0.380661,0.094192,0.237426,0.29472,0.180133
106,0.384057,0.193184,0.384057,0.193184,0.28862,0.326795,0.250446
107,0.37723,0.613673,0.37723,0.613673,0.495451,0.448163,0.54274
108,0.280959,0.204425,0.280959,0.204425,0.242692,0.257999,0.227385
109,0.309948,0.343398,0.309948,0.343398,0.326673,0.319983,0.333363
110,0.380142,0.554981,0.380142,0.554981,0.467562,0.432594,0.502529
111,0.423035,0.388426,0.423035,0.388426,0.405731,0.412653,0.398809
112,0.433153,0.181481,0.433153,0.181481,0.307317,0.357652,0.256983
113,0.328913,0.143651,0.328913,0.143651,0.236282,0.273334,0.199229
114,0.386676,0.118939,0.386676,0.118939,0.252808,0.306355,0.19926
115,0.406485,0.561301,0.406485,0.561301,0.483893,0.45293,0.514856
116,0.440864,0.86005,0.440864,0.86005,0.650457,0.56662,0.734294
117,0.207647,0.426103,0.207647,0.426103,0.316875,0.273184,0.360566
118,0.457625,0.189899,0.457625,0.189899,0.323762,0.377307,0.270217
119,0.467262,0.253407,0.467262,0.253407,0.360334,0.403105,0.317564
120,0.43377,0.239464,0.43377,0.239464,0.336617,0.375478,0.297755
121,0.199037,0.466375,0.199037,0.466375,0.332706,0.279239,0.386174
122,0.259901,0.767298,0.259901,0.767298,0.513599,0.41212,0.615079
123,0.402578,0.893876,0.402578,0.893876,0.648227,0.549968,0.746487
124,0.425823,0.468257,0.425823,0.468257,0.44704,0.438553,0.455527
125,0.36354,0.352273,0.36354,0.352273,0.357906,0.36016,0.355653
126,0.461449,0.121212,0.461449,0.121212,0.291331,0.359378,0.223283
127,0.312548,0.185409,0.312548,0.185409,0.248979,0.274407,0.223551
128,0.234831,0.52615,0.234831,0.52615,0.380491,0.322227,0.438754
129,0.380911,0.112748,0.380911,0.112748,0.24683,0.300462,0.193197
130,0.411159,0.667659,0.411159,0.667659,0.539409,0.488109,0.590709
131,0.405885,0.435927,0.405885,0.435927,0.420906,0.414898,0.426915
132,0.378866,0.444872,0.378866,0.444872,0.411869,0.398668,0.42507
133,0.412711,0.74262,0.412711,0.74262,0.577665,0.511684,0.643647
134,0.408989,0.560303,0.408989,0.560303,0.484646,0.454383,0.514909
135,0.384691,0.580334,0.384691,0.580334,0.482512,0.443384,0.521641
136,0.394687,0.203454,0.394687,0.203454,0.299071,0.337317,0.260824
137,0.407127,0.470875,0.407127,0.470875,0.439001,0.426251,0.451751
138,0.44409,0.083131,0.44409,0.083131,0.263611,0.335803,0.191419
139,0.327273,0.62192,0.327273,0.62192,0.474596,0.415667,0.533526
140,0.256643,0.18346,0.256643,0.18346,0.220051,0.234688,0.205415
141,0.433901,0.59632,0.433901,0.59632,0.515111,0.482627,0.547595
142,0.403702,0.578298,0.403702,0.578298,0.491,0.456081,0.525919
143,0.353616,0.215758,0.353616,0.215758,0.284687,0.312259,0.257116
144,0.421078,0.141155,0.421078,0.141155,0.281116,0.337101,0.225132
145,0.32153,0.270908,0.32153,0.270908,0.296219,0.306344,0.286095
146,0.364459,0.139646,0.364459,0.139646,0.252053,0.297015,0.20709
147,0.356488,0.205556,0.356488,0.205556,0.281022,0.311208,0.250835
148,0.416762,0.214286,0.416762,0.214286,0.315524,0.356019,0.275029
149,0.402823,0.385556,0.402823,0.385556,0.394189,0.397643,0.390736
150,0.452093,0.260952,0.452093,0.260952,0.356523,0.394751,0.318295
151,0.288692,0.22328,0.288692,0.22328,0.255986,0.269068,0.242904
152,0.246561,0.478974,0.246561,0.478974,0.362767,0.316285,0.40925
153,0.404168,0.747475,0.404168,0.747475,0.575821,0.50716,0.644483
154,0.401056,0.331464,0.401056,0.331464,0.36626,0.380179,0.352342
155,0.401583,0.755196,0.401583,0.755196,0.578389,0.507667,0.649112
156,0.440355,0.562974,0.440355,0.562974,0.501665,0.477141,0.526189
157,0.418908,0.409199,0.418908,0.409199,0.414053,0.415995,0.412112
158,0.43326,0.567731,0.43326,0.567731,0.500495,0.473601,0.527389
159,0.356471,0.372403,0.356471,0.372403,0.364437,0.36125,0.367623
160,0.204687,0.306243,0.204687,0.306243,0.255465,0.235154,0.275777
161,0.176389,0.415685,0.176389,0.415685,0.296037,0.248178,0.343896
162,0.321133,0.17684,0.321133,0.17684,0.248986,0.277845,0.220128
163,0.361991,0.109232,0.361991,0.109232,0.235612,0.286164,0.18506
164,0.32381,0.104883,0.32381,0.104883,0.214346,0.258131,0.170561
165,0.320174,0.074297,0.320174,0.074297,0.197235,0.246411,0.14806
166,0.292435,0.774495,0.292435,0.774495,0.533465,0.437053,0.629877
167,0.407407,0.328872,0.407407,0.328872,0.36814,0.383847,0.352433
168,0.400602,0.529266,0.400602,0.529266,0.464934,0.439201,0.490667
169,0.409035,0.245648,0.409035,0.245648,0.327342,0.360019,0.294664
170,0.436002,0.250842,0.436002,0.250842,0.343422,0.380454,0.30639
171,0.423344,0.646681,0.423344,0.646681,0.535013,0.490345,0.57968
172,0.426585,0.185011,0.426585,0.185011,0.305798,0.354113,0.257483
173,0.354683,0.684961,0.354683,0.684961,0.519822,0.453766,0.585878
174,0.214286,0.076242,0.214286,0.076242,0.145264,0.172873,0.117655
175,0.212198,0.224822,0.212198,0.224822,0.21851,0.215985,0.221035
176,0.304904,0.43447,0.304904,0.43447,0.369687,0.343774,0.3956
177,0.239316,0.641558,0.239316,0.641558,0.440437,0.359989,0.520886
178,0.239316,0.075325,0.239316,0.075325,0.15732,0.190119,0.124522
179,0.107903,0.551768,0.107903,0.551768,0.329836,0.241063,0.418608
180,0.282143,0.121901,0.282143,0.121901,0.202022,0.23407,0.169974
181,0.2,0.038811,0.2,0.038811,0.119406,0.151643,0.087168
182,0.418657,0.069619,0.418657,0.069619,0.244138,0.313946,0.174331
183,0.386439,0.05944,0.386439,0.05944,0.222939,0.288339,0.15754
184,0.351282,0.19969,0.351282,0.19969,0.275486,0.305804,0.245167
185,0.402608,0.054505,0.402608,0.054505,0.228556,0.298177,0.158936
186,0.317859,0.227316,0.317859,0.227316,0.272588,0.290696,0.254479
187,0.320772,0.22721,0.320772,0.22721,0.273991,0.292703,0.255278
188,0.387158,0.209135,0.387158,0.209135,0.298146,0.333751,0.262542
189,0.375934,0.486429,0.375934,0.486429,0.431181,0.409082,0.45328
190,0.402314,0.7615,0.402314,0.7615,0.581907,0.510069,0.653744
191,0.413749,0.893519,0.413749,0.893519,0.653634,0.55768,0.749588
192,0.417443,0.488623,0.417443,0.488623,0.453033,0.438797,0.467269
193,0.415083,0.924504,0.415083,0.924504,0.669793,0.567909,0.771678
194,0.415378,0.488255,0.415378,0.488255,0.451817,0.437241,0.466392
195,0.283372,0.132035,0.283372,0.132035,0.207703,0.237971,0.177436
196,0.329003,0.37471,0.329003,0.37471,0.351857,0.342715,0.360998
197,0.41211,0.656667,0.41211,0.656667,0.534388,0.485477,0.5833
198,0.288619,0.256296,0.288619,0.256296,0.272458,0.278922,0.265993
199,0.421281,0.477778,0.421281,0.477778,0.449529,0.43823,0.460829
200,0.394316,0.207361,0.394316,0.207361,0.300838,0.338229,0.263447
201,0.295857,0.230079,0.295857,0.230079,0.262968,0.276124,0.249813
202,0.366669,0.342434,0.366669,0.342434,0.354551,0.359398,0.349704
203,0.422398,0.159905,0.422398,0.159905,0.291151,0.34365,0.238653
204,0.367095,0.45353,0.367095,0.45353,0.410313,0.393026,0.4276
205,0.40367,0.390048,0.40367,0.390048,0.396859,0.399584,0.394134
206,0.42567,0.405873,0.42567,0.405873,0.415771,0.419731,0.411812
207,0.414386,0.877228,0.414386,0.877228,0.645807,0.553239,0.738376
208,0.422367,0.441134,0.422367,0.441134,0.431751,0.427997,0.435504
